Gemeenten,Allochtonen niet-westers|2010,Allochtonen niet-westers|2014,Allochtonen niet-westers|2018
Nunspeet,641,663,868
Oegstgeest,1574,1579,1985
Oirschot,273,337,512
Oisterwijk,1112,1055,1269
Oldambt,994,1062,1394
Oldebroek,474,414,553
Oldenzaal,2122,2254,2484
Olst-Wijhe,462,506,617
Ommen,336,392,499
Oost Gelre,738,790,942
Oosterhout,4926,5203,5918
Ooststellingwerf,759,473,638
Oostzaan,438,480,697
Opmeer,197,235,328
Opsterland,535,638,791
Oss,7469,7960,8759
Oude IJsselstreek,2294,2295,2488
Ouder-Amstel,1250,1409,1749
Oudewater,271,294,406
Overbetuwe,1524,1686,2117
Papendrecht,2257,2594,3047
Peel en Maas,1241,1352,1606
Pekela,532,489,325
Pijnacker-Nootdorp,4280,5250,6435
Purmerend,11534,12257,13635
Putten,545,602,766
Raalte,789,864,1101
Reimerswaal,711,791,953
Renkum,1426,1520,1722
Renswoude,57,82,130
Reusel-De Mierden,221,245,344
Rheden,2245,2592,3112
Rhenen,823,879,1084
Ridderkerk,3138,3985,4933
Rijssen-Holten,1533,1631,1886
Rijswijk,6485,7789,10308
Roerdalen,504,526,683
Roermond,6967,7530,8195
Roosendaal,9625,9995,10577
Rotterdam,219971,230220,244109
Rozendaal,61,64,81
Rucphen,428,466,618
Schagen,1382,1493,1907
Scherpenzeel,160,196,274
Schiedam,18966,20618,22632
Schiermonnikoog,17,18,16
Schouwen-Duiveland,696,781,1003
's-Hertogenbosch,14692,15582,17470
Simpelveld,129,127,218
Sint Anthonis,183,159,254
Sint-Michielsgestel,607,656,858
Sittard-Geleen,5427,5675,6472
Sliedrecht,1668,1970,2270
Sluis,491,558,708
Smallingerland,2614,2731,3242
Soest,4664,5044,5578
Someren,306,330,477
Son en Breugel,471,532,649
Stadskanaal,1062,1044,1207
Staphorst,203,220,306
Stede Broec,938,947,1078
Steenbergen,666,695,849
Steenwijkerland,1193,1282,1695
Stein,572,623,792
Stichtse Vecht,4555,5010,5739
Súdwest-Fryslân,2179,2488,3499
Terneuzen,3404,3634,4120
Terschelling,63,60,76
Texel,353,368,460
Teylingen,1660,1854,2275
Tholen,656,705,886
Tiel,5860,6220,6604
Tilburg,28785,30989,34398
Tubbergen,189,213,278
Twenterand,446,542,719
Tynaarlo,588,758,1105
Tytsjerksteradiel,898,841,988
Uden,2785,2920,3252
Uitgeest,474,578,718
Uithoorn,2462,2930,3771
Urk,253,320,466
Utrecht,65512,71098,79925
Utrechtse Heuvelrug,2664,2964,3417
Vaals,358,399,491
Valkenburg aan de Geul,353,413,512
Valkenswaard,1019,1090,1318
Veendam,1769,1838,2016
Veenendaal,6331,6937,7845
Veere,346,409,555
Veldhoven,1873,2295,2914
Velsen,4741,5209,6007
Venlo,10720,11260,11969
Venray,3583,3704,3987
Vijfheerenlanden,4648,4943,5471
Vlaardingen,12162,13178,14591
Vlieland,16,18,22
Vlissingen,4498,4713,5183
Voerendaal,254,270,376
Voorschoten,1693,2034,2273
Voorst,576,610,812
Vught,1087,1031,1251
Waadhoeke,1164,1279,1554
Waalre,685,744,925
